"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0006260","DNA replication",273,0.543364194335754,2.83641983298181,4.08828025421431e-29,2.41167652196102e-25,1.75882119989199e-25,3113,"tags=48%, list=18%, signal=40%","5932/253714/55159/259282/11169/675/79915/8914/1017/9837/79596/5591/672/580/10036/5429/84296/84083/374393/1763/5888/55388/5930/641/4174/157570/10973/29980/4171/11177/9401/348654/8317/64785/4175/2237/5557/4173/10535/10721/27101/1854/3978/11124/84515/5424/7486/23594/9156/81620/990/64318/23649/4796/4172/54107/10293/57697/25939/4798/6240/4678/26271/890/9767/1111/79075/5985/7083/63922/116028/7150/90381/6282/6119/9768/57662/54617/8607/51659/4998/5931/201973/4176/5422/27000/6418/7270/545/51008/8208/92675/983/5427/5425/378708/23063/11284/11073/1660/4781/11232/9126/9400/201254/5983/56953/51514/8318/6749/5426/5111/5984/146956/54465/10111/10269/5981/5982/389643/64710/51750/5928/1663/142/92667/6117/51377/91607/84464/246243"
"GO:0006310","DNA recombination",309,0.509739440105631,2.71009899509927,1.52075905856318e-26,4.4854788432321e-23,3.27123277491985e-23,3959,"tags=49%, list=23%, signal=39%","5932/115004/253714/7516/55159/3008/675/10538/4292/79915/8914/84057/5591/672/3070/8089/27030/580/84296/5888/29128/5892/2177/641/4174/493861/5889/4171/9401/80314/348654/8317/2956/4175/2521/51588/2237/4173/10721/3978/84515/126549/83990/7486/9156/7517/25788/80119/3014/7520/55345/22976/4796/4172/7468/57697/25939/7156/55719/4798/23347/1111/51010/3329/78995/116028/7374/6119/54617/8607/51659/4176/55010/23064/79677/7518/51548/7334/4438/55317/55135/60/378708/63979/11073/9400/201254/7153/9643/64421/8318/8741/79000/3006/10635/339834/79728/9466/146956/10111/29893/79725/64710/51750/57634/23137/10097/2547/57599/3836/10213/25836/142/29072/6117/51377/5893/84464/3364/3146/3148/58493/7515/7011/5347/11144/958/27301/8438/9319/23304/3575/78996/165918/708/5890/10856/125150/604/5130/6944/5885/64919/124817/23075/10445/23613/4361/80010/2073/84717/2187"
"GO:0007059","chromosome segregation",394,0.463256353402563,2.51682104535073,5.63759316065361e-25,1.10853873515652e-21,8.08450640266362e-22,3489,"tags=42%, list=20%, signal=35%","440145/8243/23636/10051/4292/84057/672/27030/54801/55835/29128/24137/64151/56155/55732/2177/151648/9735/151246/1104/54908/10592/157570/64946/55055/83903/114791/55143/348654/157313/4605/3837/4085/55166/998/83990/9928/5520/221150/6597/81620/91687/7517/990/23310/79019/9787/57082/7156/11130/54820/27436/3796/1063/3619/23397/26271/10460/10726/9031/29098/259266/9700/4288/29899/11065/57520/27229/51203/55706/11200/3304/80152/8193/1894/116028/7150/10403/3832/991/54617/7756/129563/348235/387/3192/79677/54892/332/9611/9918/6732/983/996/79682/81624/4438/7175/23255/60/378708/23063/203068/9133/9126/9400/79023/201254/81610/9525/7153/283489/2801/64105/150465/79980/55920/339834/10096/10274/699/51434/22974/23421/9055/56647/29781/55125/29893/93323/23137/387103/10097/83540/6599/55355/55559/91782/25836/79172/10270/22924/9493/11339/1062/2491/7272/7283/128866/90417/5347/11144/4751/146909/55193/348995/56992/9319/6602/26112/23354/56852/55201/5901/9698/26073/8379"
"GO:0006302","double-strand break repair",306,0.492058137511227,2.62020393564687,4.29972838371193e-24,6.34102443387917e-21,4.62447102742912e-21,3959,"tags=47%, list=23%, signal=37%","5932/115004/253714/7516/55159/83666/675/4292/8914/5591/672/3070/8089/84296/1763/5888/29128/5892/7913/2177/641/4174/157570/493861/5889/4171/9401/80314/348654/8317/4175/2521/51588/2237/4173/10721/84515/126549/83990/7486/6597/113130/7517/25788/2305/3014/7520/55345/151636/4796/4172/7468/57697/25939/7156/55719/7415/23347/22992/1111/54969/11200/8193/116028/64858/6119/54617/8607/51659/4176/5422/4968/545/55010/23064/79677/10038/7518/79184/51548/7334/55317/55135/60/63979/85456/11284/11073/9400/9643/64421/8318/79000/10635/51341/79728/84126/146956/10111/27339/64710/51750/57634/23137/10097/2547/6599/57599/10213/1663/25836/142/29072/6117/5893/84464/3364/3146/3148/58493/7515/5347/11144/8438/55193/9319/6602/78996/165918/708/5890/10856/125150/6944/5885/23613/9577/4361/80010/2073/2140/84717/2187"
"GO:0006261","DNA-templated DNA replication",160,0.601649228909477,2.98283435096209,2.48255729201194e-23,2.92892109311568e-20,2.13604455841111e-20,3103,"tags=54%, list=18%, signal=45%","5932/253714/55159/259282/11169/675/79915/8914/1017/9837/5591/672/580/84296/84083/1763/5888/55388/641/4174/29980/4171/11177/348654/8317/4175/2237/5557/4173/10721/3978/84515/5424/7486/23594/9156/81620/990/64318/23649/4796/4172/54107/10293/57697/25939/6240/26271/5985/7083/90381/57662/54617/4998/201973/4176/5422/545/983/5427/5425/378708/11284/11073/11232/9400/201254/5983/8318/5426/5111/5984/146956/54465/10111/10269/5981/5982/389643/64710/51750/1663/142/92667/6117/91607"
"GO:0000725","recombinational repair",188,0.547582893797848,2.72153964533498,1.71363809097301e-20,1.68479184977497e-17,1.22870857505381e-17,3959,"tags=53%, list=23%, signal=42%","5932/115004/253714/7516/55159/675/8914/5591/672/3070/8089/84296/5888/29128/5892/641/4174/493861/5889/4171/9401/80314/348654/8317/4175/2521/51588/2237/4173/10721/84515/126549/7486/7517/25788/3014/7520/55345/4796/4172/57697/25939/7156/55719/23347/1111/78995/116028/6119/54617/8607/51659/4176/55010/79677/51548/7334/55317/55135/60/63979/11073/9400/9643/8318/79000/10635/79728/10111/64710/51750/57634/23137/10097/2547/57599/10213/25836/142/29072/6117/5893/84464/3364/58493/5347/11144/8438/708/5890/10856/125150/6944/5885/23613/4361/80010/2073/84717/2187"
"GO:0000724","double-strand break repair via homologous recombination",182,0.546078226272929,2.72185541096033,2.27871467352302e-19,1.92030540844462e-16,1.40046719859979e-16,3959,"tags=53%, list=23%, signal=41%","5932/115004/253714/7516/55159/675/8914/5591/672/3070/8089/84296/5888/29128/5892/641/4174/493861/5889/4171/9401/80314/348654/8317/4175/2521/51588/2237/4173/10721/84515/126549/7486/7517/25788/3014/4796/4172/57697/25939/7156/55719/23347/1111/116028/6119/54617/8607/51659/4176/55010/79677/51548/7334/55317/55135/60/63979/11073/9400/9643/8318/79000/10635/79728/10111/64710/51750/57634/23137/10097/57599/10213/25836/142/29072/6117/5893/84464/3364/58493/5347/11144/8438/708/5890/10856/125150/6944/5885/23613/4361/80010/2073/84717/2187"
"GO:0098813","nuclear chromosome segregation",286,0.467857397270583,2.47110272692289,2.98579873949172e-19,2.20165334553271e-16,1.60565255898719e-16,4321,"tags=49%, list=25%, signal=38%","440145/8243/23636/10051/4292/84057/27030/29128/24137/64151/56155/2177/151648/9735/1104/54908/10592/55055/83903/55143/348654/4605/3837/4085/55166/998/83990/9928/221150/6597/81620/7517/990/23310/9787/57082/11130/27436/3796/1063/3619/23397/26271/10460/10726/9031/29098/259266/9700/11065/57520/51203/55706/11200/3304/8193/1894/116028/10403/3832/991/54617/7756/129563/348235/387/3192/54892/332/9918/983/996/4438/7175/60/23063/9133/9126/81610/9525/7153/283489/2801/64105/150465/79980/55920/339834/10096/10274/699/51434/22974/9055/56647/29781/55125/29893/10097/83540/6599/91782/25836/10270/9493/1062/2491/7272/7283/128866/90417/5347/11144/4751/146909/55193/56992/9319/6602/55201/5901/26073/8379/9212/9371/5885/4361/9183/10735/51547/55755/10615/9274/81930/147841/25978/8899/1642/10734/25879/387893"
"GO:0000280","nuclear division",383,0.423310129351035,2.2973993945618,7.42254233870258e-19,4.86506413955628e-16,3.54806205126052e-16,4321,"tags=45%, list=25%, signal=34%","91646/440145/8243/23636/811/10051/675/4292/84057/27030/5888/29128/24137/5892/64151/56155/2177/151648/9735/1104/54908/10592/55055/83903/5889/5902/55143/348654/2175/157313/4605/3837/4085/998/126549/83990/9928/221150/9088/81620/7517/25788/23310/57697/9787/57082/11130/54820/27436/3796/1063/3619/23397/26271/10726/9031/1111/29098/259266/9700/4288/11065/51203/55706/11200/3304/9585/10403/3832/991/54617/50511/7756/129563/348235/387/3192/54892/23141/332/9918/994/983/4438/55023/7175/685/54443/378708/63979/23063/4781/9133/9126/201254/9525/7153/283489/8815/2801/64105/10635/339834/4603/10096/10274/699/51434/22974/9055/56647/29781/5719/146956/10111/55125/10600/29893/10097/83540/91782/25836/148362/10270/9493/1062/84464/2491/7272/7283/128866/10419/90417/5347/11144/8438/4751/146909/56992/9319/23304/5810/5901/26073/8379/5890/27085/9212/9371/5885/124817/4361/80010/9183/10735/51547/55755/84930/10615/55968/995/81930/643376/122402/147841/25978/8899/1642/10734/25879/387893"
"GO:0048285","organelle fission",432,0.398482981710226,2.19382192521366,4.63752053008242e-18,2.73567336069562e-15,1.99511014804704e-15,4321,"tags=43%, list=25%, signal=33%","91646/440145/8243/23636/811/10051/675/4292/84057/27030/5888/29128/24137/5892/64151/56155/2177/151648/9735/1104/54908/10592/55055/83903/5889/5902/55143/348654/2175/157313/4605/3837/4085/998/126549/83990/9928/221150/9088/81620/7517/25788/23310/5898/57697/9787/57082/11130/54820/8546/27436/3796/1063/3619/23397/26271/10726/10059/9031/1111/29098/259266/9700/4288/11065/51203/55706/11200/3304/9585/10403/3832/991/54617/50511/7756/129563/348235/387/3192/54892/23141/332/9918/994/983/4438/55023/7175/685/54443/378708/63979/23063/4781/9133/9126/201254/9525/7153/283489/8815/2801/64105/10635/339834/4603/10096/10274/699/51434/22974/9055/56647/29781/5719/146956/10111/55125/10600/1352/29893/10097/83540/91782/25836/148362/80821/113115/10270/9493/1062/84464/2491/7272/7283/128866/10419/90417/5347/11144/51537/192111/8438/4751/146909/56992/10928/9319/23304/5810/5901/89866/111240474/26073/8379/5890/27085/91137/9212/9371/51571/5885/4976/124817/51/4361/8800/80010/9183/10735/51547/55755/84930/10615/55968/995/81930/643376/122402/147841/25978/8899/1642/10734/25879/387893"
