"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0033344","cholesterol efflux",48,-0.519550157708711,-1.96288376084317,0.000133347069111043,0.00194225768070628,0.00141647685888716,1951,"tags=42%, list=11%, signal=37%","6469/7376/23411/29801/5360/20/9619/407019/26154/407018/3988/348/1066/19/8399/5727/10351/341/10577/54209"
"GO:0007218","neuropeptide signaling pathway",55,-0.495928464309444,-1.91345100051223,0.000249003562185487,0.00320015689179125,0.00233385519700054,3334,"tags=40%, list=19%, signal=32%","57105/3061/2587/10178/11247/6653/10316/56413/22986/2742/11248/114815/64106/84417/6751/51083/1363/116/5539/27344/4852/5697"
"GO:0050796","regulation of insulin secretion",150,-0.406757285855876,-1.87539544800204,5.31502468191977e-06,0.000147893068861532,0.000107857526688213,3131,"tags=32%, list=18%, signal=26%","9463/415116/6717/65985/23236/8609/5991/2850/23410/80024/8660/9024/29085/5071/1813/6659/4856/3553/8398/2281/9066/6616/1080/51092/26154/8864/11069/4760/2775/8938/5106/3123/3745/25924/222546/846/2867/18/1946/3670/3569/3170/29850/131177/2641/6833/4843/114131"
"GO:0030072","peptide hormone secretion",213,-0.384569076205373,-1.85839552075314,1.49979315202615e-06,5.26623797845374e-05,3.84063572201184e-05,3131,"tags=31%, list=18%, signal=25%","9463/415116/6717/65985/23236/8609/5991/2850/23410/80024/8660/5587/1908/9024/29085/5071/1813/6659/4856/3553/8398/2281/9066/6616/139760/55585/1080/51092/26154/8864/5799/84417/11069/4760/2775/8938/5106/3123/3745/7849/25924/51083/8091/222546/846/389692/2867/1363/5798/18/1946/3670/358/3569/116/283849/3170/29850/131177/2641/7432/6833/5864/4843/114131"
"GO:0046879","hormone secretion",264,-0.373452397597837,-1.85737357946505,4.10074502064685e-07,1.81881916366886e-05,1.32645388993935e-05,3131,"tags=30%, list=18%, signal=25%","9463/415116/114899/2587/6717/65985/3589/23236/8609/5991/2850/23410/80024/8660/5587/2697/3976/1908/9024/29085/5071/1813/6659/4856/3553/1408/8398/2281/9066/6616/5008/139760/55585/1080/3784/51092/26154/8864/5799/84417/11069/4760/2775/8938/5106/3123/6869/3745/7849/4602/25924/51083/8091/222546/846/1601/389692/2867/1363/338442/5798/18/1946/3670/358/3569/116/283849/3170/29850/131177/2641/7432/6833/5864/4843/185/114131"
"GO:0030073","insulin secretion",180,-0.390874543772073,-1.84754785214709,6.02392597938816e-06,0.000163756402545672,0.000119426560648845,3131,"tags=31%, list=18%, signal=25%","9463/415116/6717/65985/23236/8609/5991/2850/23410/80024/8660/9024/29085/5071/1813/6659/4856/3553/8398/2281/9066/6616/139760/1080/51092/26154/8864/5799/11069/4760/2775/8938/5106/3123/3745/25924/51083/222546/846/389692/2867/5798/18/1946/3670/3569/116/3170/29850/131177/2641/6833/5864/4843/114131"
"GO:0071333","cellular response to glucose stimulus",119,-0.407419695979718,-1.80073039222748,0.000147564879875829,0.00210771241256057,0.00153714200089847,4257,"tags=39%, list=24%, signal=30%","572/7351/6810/150/8655/5105/3479/388581/2021/9230/415116/6717/8609/2850/26137/8660/9024/29085/5071/5176/6659/4884/8398/2281/10723/1080/10399/2876/51092/26154/5799/8938/5106/3123/3480/3745/222546/2621/846/5798/1946/2523/3170/29850/54209/2641/6833"
"GO:0042775","mitochondrial ATP synthesis coupled electron transport",91,-0.418222090027928,-1.77638630363617,0.000375144555229505,0.0044259554625977,0.00322782273099576,6371,"tags=66%, list=37%, signal=42%","1716/4725/1346/4701/1347/4519/107075310/6390/4513/7384/4717/6389/6391/55967/4731/4704/1337/4720/1351/4723/4722/4706/4514/4708/1349/7388/4707/4695/4702/1537/4694/4537/4697/4710/4712/7381/7385/4715/1340/4512/54949/29796/1350/1329/374291/9377/57017/4713/4698/126328/1327/4711/1345/9167/4716/65018/6392/4724/4705/23479"
"GO:0042593","glucose homeostasis",223,-0.351560928984481,-1.70427549473751,6.82854312306574e-05,0.0011174597058542,0.000814956650605562,3109,"tags=29%, list=18%, signal=24%","415116/6717/8609/23411/2850/80024/26137/5836/8660/283450/3607/9024/7466/29085/5071/5164/51763/2542/5176/6659/4884/28999/1408/8398/2281/3488/10723/3171/1080/10399/2876/51092/26154/632/5799/5080/4760/8938/5106/10891/4804/3123/3480/3745/5547/222546/2621/5727/846/2867/5798/1725/1946/375704/2171/3569/2355/2523/2642/3170/29850/54209/2641/6833"
"GO:0006119","oxidative phosphorylation",135,-0.350575675431188,-1.58926122799646,0.00147128459089835,0.012838916866434,0.00936334494394515,5808,"tags=52%, list=33%, signal=35%","6390/4513/7384/4717/521/6389/6391/55967/515/4731/4704/539/1337/506/509/4720/84277/1351/4723/4722/4706/4514/4708/1349/7388/4707/93974/4695/4702/1537/4694/79085/4537/4697/498/4710/4712/7381/538/514/54539/7385/23410/4715/1340/4512/54949/29796/1350/1329/374291/9377/57017/4713/4698/126328/1327/4711/1345/84275/9167/4716/65018/6392/4724/215/125965/4705/26471/23479"
